id_1,id_0,Lon,Lat,F_AREA,City_CODE,UUID,Level1,Level2,id,les-miserables_name,les-miserables_symbolSize,les-miserables_x,les-miserables_y,les-miserables_value,les-miserables_category
"1","1",104.07046,30.66453,0.02891117589,"510100","45053","2","201","1",Napoleon,2.666666667,-418.08344,446.8853,4,"0"
"2","2",104.06907,30.66448,0.03709050765,"510100","45054","2","201","2",MlleBaptistine,6.323809333,-212.76357,245.29176,9.485714,"1"
"3","3",104.0874,30.66247,0.11044878246,"510100","45063","1","101","3",MmeMagloire,6.323809333,-242.82404,235.26283,9.485714,"1"
"4","4",104.0812,30.66451,0.0285654365,"510100","45066","1","101","4",CountessDeLo,2.666666667,-379.30386,429.06424,4,"0"
"5","5",104.09446,30.66319,0.08242987996,"510100","45067","5","503","5",Geborand,2.666666667,-417.26337,406.03506,4,"0"
"6","6",104.08564,30.66467,0.01611481444,"510100","45068","1","101","6",Champtercier,2.666666667,-332.6012,485.16974,4,"0"
"7","7",104.07468,30.66496,0.04948435924,"510100","45073","2","202","7",Cravatte,2.666666667,-382.69568,475.09113,4,"0"
"8","8",104.06924,30.66694,0.02099057085,"510100","45082","2","201","8",Count,2.666666667,-320.384,387.17325,4,"0"
"9","9",104.08406,30.66534,0.02407032762,"510100","45085","1","101","9",OldMan,2.666666667,-344.39832,451.16772,4,"0"
"10","10",104.07778,30.66613,0.03100296523,"510100","45092","1","101","10",Labarre,2.666666667,-89.34107,234.56128,4,"1"
"11","11",104.07619,30.66712,0.0249884741,"510100","45105","1","101","12",Marguerite,4.495239333,-339.77908,-184.69139,6.742859,"1"
"12","12",104.0866,30.66627,0.01819973047,"510100","45107","1","101","13",MmeDeR,2.666666667,-194.31313,178.55301,4,"1"
"13","13",104.07361,30.66831,0.04933520779,"510100","45129","1","101","15",Gervais,2.666666667,-127.701546,242.55057,4,"1"
"14","14",104.07709,30.66856,0.02347570613,"510100","45134","2","201","16",Tholomyes,17.29523733,-385.2226,-393.5572,25.942856,"2"
"15","15",104.08747,30.66775,0.01505943621,"510100","45135","1","101","17",Listolier,13.63809733,-516.55884,-393.98975,20.457146,"2"
"16","16",104.08237,30.66819,0.0435524053,"510100","45141","2","201","18",Fameuil,13.63809733,-464.79382,-493.57944,20.457146,"2"
"17","17",104.07017,30.66909,0.04062960692,"510100","45143","1","101","19",Blacheville,13.63809733,-515.1624,-456.9891,20.457146,"2"
"18","18",104.09708,30.66601,0.11281382117,"510100","45148","1","101","21",Dahlia,13.63809733,-456.44113,-425.13303,20.457146,"2"
"19","19",104.08602,30.66841,0.02431628295,"510100","45150","1","101","22",Zephine,13.63809733,-459.1107,-362.5133,20.457146,"2"
"20","20",104.07987,30.66932,0.02414109135,"510100","45157","5","502","23",Fantine,28.26666667,-313.42786,-289.44803,42.4,"2"
"21","21",104.0845,30.66911,0.00711005456,"510100","45158","1","101","24",MmeThenardier,20.95238267,4.6313396,-273.8517,31.428574,"7"
"22","22",104.06913,30.67049,0.02320448944,"510100","45161","2","201","25",Thenardier,30.09523533,82.80825,-203.1144,45.142853,"7"
"23","23",104.072,30.67089,0.0227017365,"510100","45177","1","101","27",Javert,31.92380667,-81.46074,-204.20204,47.88571,"7"
"24","24",104.10052,30.66795,0.05817069835,"510100","45184","1","101","28",Fauchelevent,8.152382,-225.73984,82.41631,12.228573,"4"
"25","25",104.08753,30.66955,0.04156262448,"510100","45186","1","101","29",Bamatabois,15.46666667,-385.6842,-20.206686,23.2,"3"
"26","26",104.08082,30.67072,0.02358616294,"510100","45191","1","101","31",Simplice,8.152382,-281.4253,-158.45137,12.228573,"2"
"27","27",104.09643,30.66895,0.04890969207,"510100","45195","1","101","32",Scaufflaire,2.666666667,-122.41348,210.37503,4,"1"
"28","28",104.07562,30.67132,0.04693448769,"510100","45201","1","101","33",Woman1,4.495239333,-234.6001,-113.15067,6.742859,"1"
"29","29",104.06972,30.672,0.03313900553,"510100","45203","3","301","34",Judge,11.80952467,-387.84915,58.7059,17.714287,"3"
"30","30",104.07911,30.67151,0.02188574053,"510100","45206","1","101","35",Champmathieu,11.80952467,-338.2307,87.48405,17.714287,"3"
"31","31",104.10555,30.66945,0.0161531565,"510100","45212","5","503","36",Brevet,11.80952467,-453.26874,58.94648,17.714287,"3"
"32","32",104.09136,30.66795,0.12514114057,"510100","45225","5","504","39",Pontmercy,6.323809333,336.49738,-269.55914,9.485714,"6"
"33","33",104.09977,30.66996,0.0627884359,"510100","45229","1","101","40",Boulatruelle,2.666666667,29.187843,-460.13132,4,"7"
"34","34",104.07122,30.67332,0.02229241808,"510100","45231","5","501","41",Eponine,20.95238267,238.36697,-210.00926,31.428574,"7"
"35","35",104.0766,30.67265,0.04569681727,"510100","45233","1","101","42",Anzelma,6.323809333,189.69513,-346.50662,9.485714,"7"
"36","36",104.08438,30.67152,0.06841852206,"510100","45236","5","503","43",Woman2,6.323809333,-187.00418,-145.02663,9.485714,"6"
"37","37",104.0956,30.67102,0.05180729949,"510100","45237","1","101","44",MotherInnocent,4.495239333,-252.99521,129.87549,6.742859,"4"
"38","38",104.06959,30.67406,0.02181873229,"510100","45238","1","101","45",Gribier,2.666666667,-296.07935,163.11964,4,"4"
"39","39",104.08613,30.67363,0.0075970845,"510100","45261","1","101","46",Jondrette,2.666666667,550.3201,522.4031,4,"5"
"40","40",104.0675,30.67504,0.03504021598,"510100","45266","2","202","47",MmeBurgon,4.495239333,488.13535,356.8573,6.742859,"5"
"41","41",104.07058,30.67552,0.02551395887,"510100","45281","2","202","49",Gillenormand,13.63809733,126.4831,68.10622,20.457146,"6"
"42","42",104.09475,30.6732,0.04394604988,"510100","45285","1","101","50",Magnon,4.495239333,127.07365,-113.05923,6.742859,"6"
"43","43",104.08468,30.67387,0.03381405215,"510100","45289","2","201","51",MlleGillenormand,13.63809733,162.63559,117.6565,20.457146,"6"
"44","44",104.0732,30.67599,0.01876838014,"510100","45292","5","503","52",MmePontmercy,4.495239333,353.66415,-205.89165,6.742859,"6"
"45","45",104.07759,30.67515,0.04722405013,"510100","45297","2","201","53",MlleVaubois,2.666666667,165.43939,339.7736,4,"6"
"46","46",104.07171,30.6767,0.01221009086,"510100","45302","5","504","54",LtGillenormand,8.152382,137.69348,196.1069,12.228573,"6"
"47","47",104.06854,30.6765,0.03874706396,"510100","45303","1","101","55",Marius,35.58095333,206.44687,-13.805411,53.37143,"6"
"48","48",104.07798,30.67597,0.02512414481,"510100","45307","1","101","56",BaronessT,4.495239333,194.82993,224.78036,6.742859,"6"
"49","49",104.09052,30.67441,0.08050069755,"510100","45311","2","201","57",Mabeuf,20.95238267,597.6618,135.18481,31.428574,"8"
"50","50",104.08719,30.67524,0.06561082548,"510100","45317","5","503","59",Combeferre,20.95238267,515.2961,-46.167564,31.428574,"8"
"51","51",104.07441,30.67763,0.00966632659,"510100","45319","2","201","60",Prouvaire,17.29523733,614.29285,-69.3104,25.942856,"8"
"52","52",104.07206,30.67852,0.01149557927,"510100","45331","1","101","61",Feuilly,20.95238267,550.1917,-128.17537,31.428574,"8"
"53","53",104.06992,30.6781,0.05405163577,"510100","45337","5","501","62",Courfeyrac,24.60952667,436.17184,-12.7286825,36.91429,"8"
"54","54",104.08034,30.6787,0.13759557229,"510100","45366","1","101","65",Joly,22.78095333,516.40784,47.242233,34.17143,"8"
"55","55",104.08937,30.67817,0.1119824282,"510100","45375","1","101","66",Grantaire,19.12381,646.4313,-151.06331,28.685715,"8"
"56","56",104.08655,30.67951,0.10210819667,"510100","45399","1","101","67",MotherPlutarch,2.666666667,668.9568,204.65488,4,"8"
"57","57",104.08363,30.68094,0.10374764124,"510100","45418","1","101","68",Gueulemer,19.12381,78.4799,-347.15146,28.685715,"7"
"58","58",104.07253,30.68259,0.13150248088,"510100","45423","1","101","69",Babet,19.12381,150.35959,-298.50797,28.685715,"7"
"59","59",104.09487,30.68317,0.00234749062,"510100","45440","5","501","71",Montparnasse,17.29523733,234.87747,-400.85983,25.942856,"7"
"60","60",104.07756,30.68384,0.12261789151,"510100","45459","1","101","73",Child1,4.495239333,437.939,291.58234,6.742859,"8"
"61","61",104.08589,30.68428,0.06829604271,"510100","45470","1","101","75",Brujon,13.63809733,238.79364,-314.06345,20.457146,"7"
